"","original_taxa","accepted_wfo","wfo_taxonID","wfo_rank","wfo_authorship","wfo_family","wfo_genus","wfo_status","wfo_match"
"1","Achillea odorata","Verbesina montevidensis","wfo-0000078016","species","Spreng.","Asteraceae","Verbesina","Accepted","DUPLICATED SYNONYMS"
"2","Achillea odorata","Aspilia silphioides","wfo-0000040535","species","Benth. & Hook.f.","Asteraceae","Aspilia","Accepted","DUPLICATED SYNONYMS"
"3","Achillea odorata","Achillea nobilis","wfo-0000092435","species","L.","Asteraceae","Achillea","Accepted","DUPLICATED SYNONYMS"
"4","Alchemilla acutiloba","Alchemilla mollis","wfo-0001018841","species","(Buser) Rothm.","Rosaceae","Alchemilla","Accepted","DUPLICATED SYNONYMS"
"5","Alchemilla acutiloba","Alchemilla micans","wfo-0001015829","species","Buser","Rosaceae","Alchemilla","Accepted","DUPLICATED SYNONYMS"
"6","Alchemilla acutiloba","Alchemilla vulgaris","wfo-0001007689","species","L.","Rosaceae","Alchemilla","Accepted","DUPLICATED SYNONYMS"
"7","Alchemilla acutiloba","Alchemilla vulgaris","wfo-0001007689","species","L.","Rosaceae","Alchemilla","Accepted","DUPLICATED SYNONYMS"
"8","Allium pallens","Allium paniculatum subsp. pallens","wfo-0000756944","subspecies","(L.) K.Richt.","Amaryllidaceae","Allium","Accepted","DUPLICATED SYNONYMS"
"9","Allium pallens","Allium flavum","wfo-0000756255","species","L.","Amaryllidaceae","Allium","Accepted","DUPLICATED SYNONYMS"
"10","Allium porrum","Allium ampeloprasum","wfo-0000755607","species","L.","Amaryllidaceae","Allium","Accepted","DUPLICATED SYNONYMS"
"11","Allium porrum","Allium obliquum","wfo-0000756848","species","L.","Amaryllidaceae","Allium","Accepted","DUPLICATED SYNONYMS"
"12","Allium porrum porrum","Allium ampeloprasum","wfo-0000755607","species","L.","Amaryllidaceae","Allium","Accepted","DUPLICATED SYNONYMS"
"13","Allium porrum porrum","Allium obliquum","wfo-0000756848","species","L.","Amaryllidaceae","Allium","Accepted","DUPLICATED SYNONYMS"
"14","Althaea hirsuta","Malva setigera","wfo-0000449618","species","K.F.Schimp. & Spenn.","Malvaceae","Malva","Accepted","DUPLICATED SYNONYMS"
"15","Althaea hirsuta","Malva cretica subsp. cretica","wfo-1200097936","subspecies","","Malvaceae","Malva","Accepted","DUPLICATED SYNONYMS"
"16","Anagallis arvensis foemina","Lysimachia arvensis","wfo-0000744184","species","(L.) U.Manns & Anderb.","Primulaceae","Lysimachia","Accepted","DUPLICATED SYNONYMS"
"17","Anagallis arvensis foemina","Lysimachia foemina","wfo-0000744194","species","(Mill.) U.Manns & Anderb.","Primulaceae","Lysimachia","Accepted","DUPLICATED SYNONYMS"
"18","Anemone nemorosa","Anemonoides nemorosa","wfo-0000535989","species","(L.) Holub","Ranunculaceae","Anemonoides","Accepted","DUPLICATED SYNONYMS"
"19","Anemone nemorosa","Anemone altaica","wfo-0000535069","species","Fisch. ex Ledeb.","Ranunculaceae","Anemone","Accepted","DUPLICATED SYNONYMS"
"20","Brassica napus oleifera","Brassica napus","wfo-0000571271","species","L.","Brassicaceae","Brassica","Accepted","DUPLICATED SYNONYMS"
"21","Brassica napus oleifera","Brassica napus subsp. napus","wfo-0001264538","subspecies","L.","Brassicaceae","Brassica","Accepted","DUPLICATED SYNONYMS"
"22","Brassica napus oleifera","Brassica napus","wfo-0000571271","species","L.","Brassicaceae","Brassica","Accepted","DUPLICATED SYNONYMS"
"23","Brassica napus oleifera","Brassica napus subsp. napus","wfo-0001264538","subspecies","L.","Brassicaceae","Brassica","Accepted","DUPLICATED SYNONYMS"
"24","Bromus diandrus diandrus","Bromus diandrus","wfo-0000855460","species","Roth","Poaceae","Bromus","Accepted","DUPLICATED SYNONYMS"
"25","Bromus diandrus diandrus","Bromus madritensis","wfo-0000855936","species","L.","Poaceae","Bromus","Accepted","DUPLICATED SYNONYMS"
"26","Bryonia dioica dioica","Bryonia cretica subsp. dioica","wfo-0000572963","subspecies","(Jacq.) Tutin","Cucurbitaceae","Bryonia","Accepted","DUPLICATED SYNONYMS"
"27","Bryonia dioica dioica","Bryonia alba","wfo-0000572927","species","L.","Cucurbitaceae","Bryonia","Accepted","DUPLICATED SYNONYMS"
"28","Bryonia dioica dioica","Bryonia dioica","wfo-0000572976","species","Bojer","Cucurbitaceae","Bryonia","Unchecked","DUPLICATED SYNONYMS"
"29","Bryonia dioica dioica","Bryonia dioica","wfo-0000572977","species","Sessé & Moc.","Cucurbitaceae","Bryonia","Unchecked","DUPLICATED SYNONYMS"
"30","Chenopodium album x rubrum","Chenopodium album","wfo-0000600897","species","L.","Chenopodiaceae","Chenopodium","Accepted","DUPLICATED SYNONYMS"
"31","Chenopodium album x rubrum","Chenopodium album","wfo-0000600898","species","Bosc ex Moq.","Chenopodiaceae","Chenopodium","Unchecked","DUPLICATED SYNONYMS"
"32","Coronopus","Heliophila","wfo-4000017258","genus","Burm.f.","Brassicaceae","Heliophila","Accepted","DUPLICATED SYNONYMS"
"33","Coronopus","Plantago","wfo-4000030044","genus","L.","Plantaginaceae","Plantago","Accepted","DUPLICATED SYNONYMS"
"34","Crepis taraxacifolia","Crepis vesicaria","wfo-0000043912","species","L.","Asteraceae","Crepis","Accepted","DUPLICATED SYNONYMS"
"35","Crepis taraxacifolia","Crepis vesicaria subsp. taraxacifolia","wfo-0000105415","subspecies","(Thuill.) Thell.","Asteraceae","Crepis","Accepted","DUPLICATED SYNONYMS"
"36","Delphinium orientale","Delphinium ajacis","wfo-0000639671","species","L.","Ranunculaceae","Delphinium","Accepted","DUPLICATED SYNONYMS"
"37","Delphinium orientale","Delphinium pubescens","wfo-0000640612","species","DC.","Ranunculaceae","Delphinium","Accepted","DUPLICATED SYNONYMS"
"38","Erigeron canadensis x sumatrensis","Erigeron canadensis","wfo-0000015917","species","L.","Asteraceae","Erigeron","Accepted","DUPLICATED SYNONYMS"
"39","Erigeron canadensis x sumatrensis","Erigeron rufescens","wfo-0000090635","species","Link ex Steud.","Asteraceae","Erigeron","Accepted","DUPLICATED SYNONYMS"
"40","Erigeron canadensis x sumatrensis","Erigeron bonariensis","wfo-0000075344","species","L.","Asteraceae","Erigeron","Accepted","DUPLICATED SYNONYMS"
"41","Ervum gracile","Vicia pubescens","wfo-0000212777","species","(DC.) Link","Fabaceae","Vicia","Accepted","DUPLICATED SYNONYMS"
"42","Ervum gracile","Vicia parviflora","wfo-0000186391","species","Cav.","Fabaceae","Vicia","Accepted","DUPLICATED SYNONYMS"
"43","Ervum tetraspermum","Vicia tetrasperma","wfo-0000212802","species","(L.) Schreb.","Fabaceae","Vicia","Accepted","DUPLICATED SYNONYMS"
"44","Ervum tetraspermum","Vicia pubescens","wfo-0000212777","species","(DC.) Link","Fabaceae","Vicia","Accepted","DUPLICATED SYNONYMS"
"45","Festuca arundinacea","Festuca rubra","wfo-0000871854","species","L.","Poaceae","Festuca","Accepted","DUPLICATED SYNONYMS"
"46","Festuca arundinacea","Lolium arundinaceum","wfo-0000878351","species","(Schreb.) Darbysh.","Poaceae","Lolium","Accepted","DUPLICATED SYNONYMS"
"47","Festuca arundinacea","Scolochloa festucacea","wfo-0000898496","species","(Willd.) Link","Poaceae","Scolochloa","Accepted","DUPLICATED SYNONYMS"
"48","Festuca arundinacea arundinacea x multiflorum","Festuca rubra","wfo-0000871854","species","L.","Poaceae","Festuca","Accepted","DUPLICATED SYNONYMS"
"49","Festuca arundinacea arundinacea x multiflorum","Lolium arundinaceum","wfo-0000878351","species","(Schreb.) Darbysh.","Poaceae","Lolium","Accepted","DUPLICATED SYNONYMS"
"50","Festuca arundinacea arundinacea x multiflorum","Scolochloa festucacea","wfo-0000898496","species","(Willd.) Link","Poaceae","Scolochloa","Accepted","DUPLICATED SYNONYMS"
"51","Festuca pratensis","Lolium pratense","wfo-0000878460","species","(Huds.) Darbysh.","Poaceae","Lolium","Accepted","DUPLICATED SYNONYMS"
"52","Festuca pratensis","Festuca rubra","wfo-0000871854","species","L.","Poaceae","Festuca","Accepted","DUPLICATED SYNONYMS"
"53","Festuca pratensis","Festuca ovina","wfo-0000871222","species","L.","Poaceae","Festuca","Accepted","DUPLICATED SYNONYMS"
"54","Fumaria tenuifolia","Platycapnos spicatus","wfo-0000468978","species","(L.) Bernh.","Papaveraceae","Platycapnos","Accepted","DUPLICATED SYNONYMS"
"55","Fumaria tenuifolia","Fumaria parviflora","wfo-0000693383","species","Lam.","Papaveraceae","Fumaria","Accepted","DUPLICATED SYNONYMS"
"56","Fumaria tenuifolia","Dicentra peregrina","wfo-0000644983","species","(Rudolph) Makino","Papaveraceae","Dicentra","Accepted","DUPLICATED SYNONYMS"
"57","Galium corrudifolium","Galium firmum","wfo-0000968949","species","Tausch","Rubiaceae","Galium","Accepted","DUPLICATED SYNONYMS"
"58","Galium corrudifolium","Galium mollugo subsp. mollugo","wfo-0001132328","subspecies","","Rubiaceae","Galium","Accepted","DUPLICATED SYNONYMS"
"59","Galium corrudifolium","Galium lucidum subsp. corrudifolium","wfo-0000811159","subspecies","(Vill.) Bonnier","Rubiaceae","Galium","Accepted","DUPLICATED SYNONYMS"
"60","Gnaphalium americanum","Anaphalis margaritacea subsp. margaritacea","wfo-0001425684","subspecies","","Asteraceae","Anaphalis","Accepted","DUPLICATED SYNONYMS"
"61","Gnaphalium americanum","Anaphalis margaritacea","wfo-0000092746","species","(L.) Benth. & Hook.f.","Asteraceae","Anaphalis","Accepted","DUPLICATED SYNONYMS"
"62","Gnaphalium americanum","Gamochaeta americana","wfo-0000125367","species","(Mill.) Wedd.","Asteraceae","Gamochaeta","Accepted","DUPLICATED SYNONYMS"
"63","Matricaria maritima maritima x inodorum","Matricaria maritima","wfo-0000013639","species","Fries ex Nyman","Asteraceae","Matricaria","Unchecked","DUPLICATED SYNONYMS"
"64","Matricaria maritima maritima x inodorum","Tripleurospermum maritimum","wfo-0000063085","species","(L.) W.D.J.Koch","Asteraceae","Tripleurospermum","Accepted","DUPLICATED SYNONYMS"
"65","Orlaya platycarpos","Caucalis platycarpos","wfo-0000591123","species","L.","Apiaceae","Caucalis","Accepted","DUPLICATED SYNONYMS"
"66","Orlaya platycarpos","Orlaya grandiflora","wfo-0000384789","species","(L.) Hoffm.","Apiaceae","Orlaya","Accepted","DUPLICATED SYNONYMS"
"67","Phleum ambiguum","Phleum hirsutum","wfo-0000890043","species","Honck.","Poaceae","Phleum","Accepted","DUPLICATED SYNONYMS"
"68","Phleum ambiguum","Phleum montanum","wfo-0000890065","species","K.Koch","Poaceae","Phleum","Accepted","DUPLICATED SYNONYMS"
"69","Plantago major pleiosperma","Plantago major subsp. intermedia","wfo-0000745393","subspecies","(Gilib.) Lange","Plantaginaceae","Plantago","Accepted","DUPLICATED SYNONYMS"
"70","Plantago major pleiosperma","Plantago major subsp. major","wfo-0001316375","subspecies","","Plantaginaceae","Plantago","Accepted","DUPLICATED SYNONYMS"
"71","Plantago pauciflora","Plantago major subsp. major","wfo-0001316375","subspecies","","Plantaginaceae","Plantago","Accepted","DUPLICATED SYNONYMS"
"72","Plantago pauciflora","Plantago maritima subsp. maritima","wfo-0001094998","subspecies","","Plantaginaceae","Plantago","Accepted","DUPLICATED SYNONYMS"
"73","Plantago pauciflora","Plantago barbata subsp. barbata","wfo-0001094953","subspecies","","Plantaginaceae","Plantago","Accepted","DUPLICATED SYNONYMS"
"74","Plantago pauciflora","Plantago barbata subsp. barbata","wfo-0001094953","subspecies","","Plantaginaceae","Plantago","Accepted","DUPLICATED SYNONYMS"
"75","Plantago uliginosa","Plantago gentianoides","wfo-0001095032","species","Sm.","Plantaginaceae","Plantago","Accepted","DUPLICATED SYNONYMS"
"76","Plantago uliginosa","Plantago major subsp. intermedia","wfo-0000745393","subspecies","(Gilib.) Lange","Plantaginaceae","Plantago","Accepted","DUPLICATED SYNONYMS"
"77","Poa latifolia","Centotheca lappacea","wfo-0000858736","species","(L.) Desv.","Poaceae","Centotheca","Accepted","DUPLICATED SYNONYMS"
"78","Poa latifolia","Nicoraepoa chonotica","wfo-0000908475","species","(Phil.) Soreng & L.J.Gillespie","Poaceae","Nicoraepoa","Accepted","DUPLICATED SYNONYMS"
"79","Poa latifolia","Poa humilis","wfo-0000892571","species","Ehrh. ex Hoffm.","Poaceae","Poa","Accepted","DUPLICATED SYNONYMS"
"80","Poa latifolia","Poa chaixii","wfo-0000891929","species","Vill.","Poaceae","Poa","Accepted","DUPLICATED SYNONYMS"
"81","Potentilla erecta x reptans","Potentilla erecta","wfo-0000984938","species","(L.) Raeusch.","Rosaceae","Potentilla","Accepted","DUPLICATED SYNONYMS"
"82","Potentilla erecta x reptans","Potentilla erecta","wfo-0000989766","species","(L.) Hampe","Rosaceae","Potentilla","Unchecked","DUPLICATED SYNONYMS"
"83","Potentilla erecta x reptans","Potentilla erecta","wfo-0000991035","species","Uspenski ex Ledeb.","Rosaceae","Potentilla","Unchecked","DUPLICATED SYNONYMS"
"84","Potentilla erecta x reptans","Potentilla erecta","wfo-0001004690","species","H.Karst.","Rosaceae","Potentilla","Unchecked","DUPLICATED SYNONYMS"
"85","Potentilla erecta x reptans","Potentilla erecta","wfo-0001006383","species","(L.) Mela","Rosaceae","Potentilla","Unchecked","DUPLICATED SYNONYMS"
"86","Potentilla erecta x reptans","Potentilla recta subsp. recta","wfo-0001011319","subspecies","","Rosaceae","Potentilla","Accepted","DUPLICATED SYNONYMS"
"87","Poterium sanguisorba","Sanguisorba minor","wfo-0001015888","species","Scop.","Rosaceae","Sanguisorba","Accepted","DUPLICATED SYNONYMS"
"88","Poterium sanguisorba","Sanguisorba minor subsp. minor","wfo-0000985709","subspecies","","Rosaceae","Sanguisorba","Accepted","DUPLICATED SYNONYMS"
"89","Schedonorus arundinaceus","Scolochloa festucacea","wfo-0000898496","species","(Willd.) Link","Poaceae","Scolochloa","Accepted","DUPLICATED SYNONYMS"
"90","Schedonorus arundinaceus","Lolium arundinaceum","wfo-0000878351","species","(Schreb.) Darbysh.","Poaceae","Lolium","Accepted","DUPLICATED SYNONYMS"
"91","Silene alba","Silene latifolia subsp. alba","wfo-0000440845","subspecies","(Mill.) Greuter & Burdet","Caryophyllaceae","Silene","Accepted","DUPLICATED SYNONYMS"
"92","Silene alba","Silene nivea","wfo-0001291542","species","(Nutt.) Muhl. ex DC.","Caryophyllaceae","Silene","Accepted","DUPLICATED SYNONYMS"
"93","Solanum nigrum nigrum","Lycianthes biflora","wfo-0001022238","species","(Lour.) Bitter","Solanaceae","Lycianthes","Accepted","DUPLICATED SYNONYMS"
"94","Solanum nigrum nigrum","Solanum scabrum","wfo-0001031072","species","Mill.","Solanaceae","Solanum","Accepted","DUPLICATED SYNONYMS"
"95","Solanum nigrum nigrum","Solanum nigrum","wfo-0001029815","species","L.","Solanaceae","Solanum","Accepted","DUPLICATED SYNONYMS"
"96","Solanum nigrum nigrum","Solanum nigrum","wfo-0001029815","species","L.","Solanaceae","Solanum","Accepted","DUPLICATED SYNONYMS"
"97","Solanum nigrum nigrum","Solanum americanum","wfo-0001025878","species","Mill.","Solanaceae","Solanum","Accepted","DUPLICATED SYNONYMS"
"98","Stipa capensis","Stipellula capensis","wfo-0001329127","species","(Thunb.) Röser & Hamasha","Poaceae","Stipellula","Accepted","DUPLICATED SYNONYMS"
"99","Stipa capensis","Stipa dregeana","wfo-0000902014","species","Steud.","Poaceae","Stipa","Accepted","DUPLICATED SYNONYMS"
"100","Veronica anagallis acuatica","Veronica anagallis","wfo-0001137201","species","L.","Plantaginaceae","Veronica","Accepted","DUPLICATED SYNONYMS"
"101","Veronica anagallis acuatica","Veronica americana","wfo-0000419644","species","(Raf.) Schwein. ex Benth.","Plantaginaceae","Veronica","Accepted","DUPLICATED SYNONYMS"
"102","Vicia angustifolia","Vicia lathyroides","wfo-0000212745","species","L.","Fabaceae","Vicia","Accepted","DUPLICATED SYNONYMS"
"103","Vicia angustifolia","Vicia sativa subsp. nigra","wfo-0000212782","subspecies","Ehrh.","Fabaceae","Vicia","Accepted","DUPLICATED SYNONYMS"
"104","Vicia angustifolia","Vicia sativa subsp. nigra","wfo-0000212782","subspecies","Ehrh.","Fabaceae","Vicia","Accepted","DUPLICATED SYNONYMS"
"105","Vicia angustifolia","Vicia monantha subsp. biflora","wfo-0000212757","subspecies","(Desf.) Maire","Fabaceae","Vicia","Accepted","DUPLICATED SYNONYMS"
"106","Vicia angustifolia","Vicia setifolia var. setifolia","wfo-0000180063","variety","","Fabaceae","Vicia","Accepted","DUPLICATED SYNONYMS"
"107","Vicia ciliata","Vicia ciliatula","wfo-0000187520","species","Lipsky","Fabaceae","Vicia","Accepted","DUPLICATED SYNONYMS"
"108","Vicia ciliata","Vicia lutea subsp. lutea","wfo-0000214216","subspecies","","Fabaceae","Vicia","Accepted","DUPLICATED SYNONYMS"
"109","Vulpia ciliata","Festuca ambigua","wfo-0000869737","species","Le Gall","Poaceae","Festuca","Accepted","DUPLICATED SYNONYMS"
"110","Vulpia ciliata","Festuca myuros","wfo-0000871095","species","L.","Poaceae","Festuca","Accepted","DUPLICATED SYNONYMS"
"111","x Triticosecale","Triticosecale","wfo-4000039396","genus","Wittm. ex Degen","Poaceae","Triticosecale","Accepted","DUPLICATED SYNONYMS"
"112","x Triticosecale","Triticosecale","wfo-4100002300","genus","Wittm. ex A.Camus","","Triticosecale","Unchecked","DUPLICATED SYNONYMS"
"113","x Triticosecale rimpaui","Triticosecale rimpaui","wfo-0000841235","species","Wittm.","Poaceae","Triticosecale","Unchecked","DUPLICATED SYNONYMS"
"114","x Triticosecale rimpaui","Triticosecale rimpaui","wfo-0001283764","species","C.Yen & J.L.Yang","Poaceae","Triticosecale","Unchecked","DUPLICATED SYNONYMS"
"115","x Triticosecale rimpaui","Triticosecale rimpaui","wfo-1000048308","species","(M.Graebn.) Wittm. ex A.W.Hill","Poaceae","Triticosecale","Unchecked","DUPLICATED SYNONYMS"
