"original_taxa","accepted_wfo","wfo_taxonID","wfo_rank","wfo_authorship","wfo_family","wfo_genus","wfo_status","wfo_match"
"Helictochloa romero","Helictochloa","wfo-4000017242","genus","Romero Zarco","Poaceae","Helictochloa","Accepted","FUZZY"
"Heliotropium europaeum","Heliotropium europaeum","wfo-0000718566","species","L.","Heliotropiaceae","Heliotropium","Accepted","MATCH"
"Helleborus foetidus","Helleborus foetidus","wfo-0000719147","species","L.","Ranunculaceae","Helleborus","Accepted","MATCH"
"Helleborus purpurascens","Helleborus purpurascens","wfo-0000719199","species","Waldst. & Kit.","Ranunculaceae","Helleborus","Accepted","MATCH"
"Helminthotheca","Helminthotheca","wfo-4000017298","genus","Zinn","Asteraceae","Helminthotheca","Accepted","MATCH"
"Helminthotheca comosa","Helminthotheca comosa","wfo-0000057986","species","(Boiss.) Holub","Asteraceae","Helminthotheca","Accepted","MATCH"
"Helminthotheca echioides","Helminthotheca echioides","wfo-0000123886","species","(L.) Holub","Asteraceae","Helminthotheca","Accepted","MATCH"
"Helosciadium nodiflorum","Helosciadium nodiflorum","wfo-0000719285","species","(L.) W.D.J.Koch","Apiaceae","Helosciadium","Accepted","MATCH"
"Heracleum","Heracleum","wfo-4000017527","genus","L.","Apiaceae","Heracleum","Accepted","MATCH"
"Heracleum mantegazzianum x sphondylium","Heracleum mantegazzianum","wfo-0000720133","species","Sommier & Levier","Apiaceae","Heracleum","Accepted","FUZZY"
"Heracleum sibiricum","Heracleum sibiricum","wfo-0000720207","species","L.","Apiaceae","Heracleum","Accepted","MATCH"
"Heracleum sphondylium","Heracleum sphondylium","wfo-0000720220","species","L.","Apiaceae","Heracleum","Accepted","MATCH"
"Heracleum sphondylium sphondylium","Heracleum sphondylium","wfo-0000720220","species","L.","Apiaceae","Heracleum","Accepted","FUZZY"
"Herniaria","Herniaria","wfo-4000017558","genus","Tourn. ex L.","Caryophyllaceae","Herniaria","Accepted","MATCH"
"Herniaria cinerea","Herniaria hirsuta subsp. cinerea","wfo-0000734536","subspecies","(DC.) Cout.","Caryophyllaceae","Herniaria","Accepted","MATCH"
"Herniaria glabra","Herniaria glabra","wfo-0000720677","species","L.","Caryophyllaceae","Herniaria","Accepted","MATCH"
"Herniaria hirsuta","Herniaria hirsuta","wfo-0000720684","species","L.","Caryophyllaceae","Herniaria","Accepted","MATCH"
"Herniaria hirsuta cinerea","Herniaria hirsuta","wfo-0000720684","species","L.","Caryophyllaceae","Herniaria","Accepted","FUZZY"
"Herniaria lusitanica","Herniaria lusitanica","wfo-0000720700","species","Chaudhri","Caryophyllaceae","Herniaria","Accepted","MATCH"
"Hibiscus trionum","Hibiscus trionum","wfo-0000723167","species","L.","Malvaceae","Hibiscus","Accepted","MATCH"
"Hieracium","Hieracium","wfo-4000017887","genus","L.","Asteraceae","Hieracium","Accepted","MATCH"
"Hieracium amplexicaule","Hieracium amplexicaule","wfo-0000117103","species","L.","Asteraceae","Hieracium","Accepted","MATCH"
"Hieracium aurantiacum","Pilosella aurantiaca","wfo-0000030068","species","(L.) F.W.Schultz & Sch.Bip.","Asteraceae","Pilosella","Accepted","MATCH"
"Hieracium cymosum","Hieracium cymosum","wfo-0000007746","species","Vill.","Asteraceae","Hieracium","Accepted","MATCH"
"Hieracium lachenalii","Hieracium lachenalii","wfo-0000004151","species","Suter","Asteraceae","Hieracium","Accepted","MATCH"
"Hieracium laevigatum","Hieracium laevigatum","wfo-0000027969","species","Froel.","Asteraceae","Hieracium","Accepted","MATCH"
"Hieracium murorum","Hieracium murorum","wfo-0000070265","species","C.B.Clarke","Asteraceae","Hieracium","Accepted","MATCH"
"Hieracium pilosella","Pilosella officinarum","wfo-0000115134","species","F.W.Schultz & Sch.Bip.","Asteraceae","Pilosella","Accepted","MATCH"
"Hieracium sabaudum","Hieracium sabaudum","wfo-0000133436","species","L.","Asteraceae","Hieracium","Accepted","MATCH"
"Hieracium umbellatum","Hieracium umbellatum","wfo-0000080102","species","L.","Asteraceae","Hieracium","Accepted","MATCH"
"Hieracium villosum","Hieracium villosum","wfo-0000138482","species","Jacq.","Asteraceae","Hieracium","Accepted","MATCH"
"Himantoglossum hircinum","Himantoglossum hircinum","wfo-0000982424","species","(L.) Spreng.","Orchidaceae","Himantoglossum","Accepted","MATCH"
"Himantoglossum robertianum","Himantoglossum robertianum","wfo-0000982438","species","(Loisel.) P.Delforge","Orchidaceae","Himantoglossum","Accepted","MATCH"
"Hippocrepis","Hippocrepis","wfo-4000017961","genus","L.","Fabaceae","Hippocrepis","Accepted","MATCH"
"Hippocrepis biflora","Hippocrepis biflora","wfo-0000205737","species","Spreng.","Fabaceae","Hippocrepis","Accepted","MATCH"
"Hippocrepis comosa","Hippocrepis comosa","wfo-0000213796","species","L.","Fabaceae","Hippocrepis","Accepted","MATCH"
"Hippophae rhamnoides","Hippophae rhamnoides","wfo-0000723743","species","L.","Elaeagnaceae","Hippophae","Accepted","MATCH"
"Hirschfeldia incana","Hirschfeldia incana","wfo-0000724016","species","(L.) Lagr.-Foss.","Brassicaceae","Hirschfeldia","Accepted","MATCH"
"Hirschfeldia incana incana","Hirschfeldia incana","wfo-0000724016","species","(L.) Lagr.-Foss.","Brassicaceae","Hirschfeldia","Accepted","FUZZY"
"Holcus","Holcus","wfo-4000018059","genus","L.","Poaceae","Holcus","Accepted","MATCH"
"Holcus lanatus","Holcus lanatus","wfo-0000874509","species","L.","Poaceae","Holcus","Accepted","MATCH"
"Holcus mollis","Holcus mollis","wfo-0000874519","species","L.","Poaceae","Holcus","Accepted","MATCH"
"Holcus mollis mollis","Holcus mollis","wfo-0000874519","species","L.","Poaceae","Holcus","Accepted","FUZZY"
"Holcus x hybridus","Holcus hybridus","wfo-0000874445","species","Wein","Poaceae","Holcus","Accepted","FUZZY"
"Holosteum umbellatum","Holosteum umbellatum","wfo-0000724345","species","L.","Caryophyllaceae","Holosteum","Accepted","MATCH"
"Honorius nutans","Honorius nutans","wfo-0000662106","species","(L.) Gray","Asparagaceae","Honorius","Accepted","MATCH"
"Hordelymus europaeus","Hordelymus europaeus","wfo-0000874641","species","(L.) Jess. ex Harz","Poaceae","Hordelymus","Accepted","MATCH"
"Hordeum","Hordeum","wfo-4000018271","genus","L.","Poaceae","Hordeum","Accepted","MATCH"
"Hordeum distichon","Hordeum distichon","wfo-0000874759","species","L.","Poaceae","Hordeum","Accepted","MATCH"
"Hordeum marinum","Hordeum marinum","wfo-0000874872","species","Huds.","Poaceae","Hordeum","Accepted","MATCH"
"Hordeum murinum","Hordeum murinum","wfo-0000874893","species","L.","Poaceae","Hordeum","Accepted","MATCH"
"Hordeum murinum leporinum","Hordeum murinum","wfo-0000874893","species","L.","Poaceae","Hordeum","Accepted","FUZZY"
"Hordeum murinum murinum","Hordeum murinum","wfo-0000874893","species","L.","Poaceae","Hordeum","Accepted","FUZZY"
"Hordeum secalinum","Hordeum secalinum","wfo-0000874994","species","Schreb.","Poaceae","Hordeum","Accepted","MATCH"
"Hordeum vulgare","Hordeum vulgare","wfo-0000875054","species","L.","Poaceae","Hordeum","Accepted","MATCH"
"Hordeum vulgare distichon","Hordeum vulgare","wfo-0000875054","species","L.","Poaceae","Hordeum","Accepted","FUZZY"
"Hordeum vulgare hexastichum","Hordeum vulgare","wfo-0000875054","species","L.","Poaceae","Hordeum","Accepted","FUZZY"
"Hordeum vulgare vulgare","Hordeum vulgare","wfo-0000875054","species","L.","Poaceae","Hordeum","Accepted","FUZZY"
"Hornungia petraea","Hornungia petraea","wfo-0000724775","species","(L.) Rchb.","Brassicaceae","Hornungia","Accepted","MATCH"
"Humulus lupulus","Humulus lupulus","wfo-0000725866","species","L.","Cannabaceae","Humulus","Accepted","MATCH"
"Hyacinthoides","Hyacinthoides","wfo-4000018462","genus","Heist. ex Fabr.","Asparagaceae","Hyacinthoides","Accepted","MATCH"
"Hyacinthoides non-scripta","Hyacinthoides non-scripta","wfo-0000664295","species","(L.) Chouard ex Rothm.","Asparagaceae","Hyacinthoides","Accepted","MATCH"
"Hyacinthus orientalis","Hyacinthus orientalis","wfo-0000665369","species","L.","Asparagaceae","Hyacinthus","Accepted","MATCH"
"Hylotelephium","Hylotelephium","wfo-4000018627","genus","H.Ohba","Crassulaceae","Hylotelephium","Accepted","MATCH"
"Hylotelephium argutum","Hylotelephium telephium subsp. fabaria","wfo-0000726975","subspecies","(W.D.J.Koch) H.Ohba","Crassulaceae","Hylotelephium","Accepted","MATCH"
"Hylotelephium telephium","Hylotelephium telephium","wfo-0000726974","species","(L.) H.Ohba","Crassulaceae","Hylotelephium","Accepted","MATCH"
"Hymenocarpos circinnata nummularius","Anthyllis circinnata","wfo-0000538748","species","(L.) D.D.Sokoloff","Fabaceae","Anthyllis","Accepted","FUZZY"
"Hymenocarpos circinnatus","Anthyllis circinnata","wfo-0000538748","species","(L.) D.D.Sokoloff","Fabaceae","Anthyllis","Accepted","MATCH"
"Hyoscyamus niger","Hyoscyamus niger","wfo-0001021850","species","L.","Solanaceae","Hyoscyamus","Accepted","MATCH"
"Hyoseris radiata","Hyoseris radiata","wfo-0000134175","species","L.","Asteraceae","Hyoseris","Accepted","MATCH"
"Hypecoum","Hypecoum","wfo-4000018739","genus","Tourn. ex L.","Papaveraceae","Hypecoum","Accepted","MATCH"
"Hypecoum imberbe","Hypecoum imberbe","wfo-0000727174","species","Sm.","Papaveraceae","Hypecoum","Accepted","MATCH"
"Hypecoum pendulum","Hypecoum pendulum","wfo-0000727181","species","L.","Papaveraceae","Hypecoum","Accepted","MATCH"
"Hypecoum procumbens","Hypecoum procumbens","wfo-0000727185","species","L.","Papaveraceae","Hypecoum","Accepted","MATCH"
"Hypericum","Hypericum","wfo-4000018759","genus","Tourn. ex L.","Hypericaceae","Hypericum","Accepted","MATCH"
"Hypericum androsaemum","Hypericum androsaemum","wfo-0000727341","species","L.","Hypericaceae","Hypericum","Accepted","MATCH"
"Hypericum australe","Hypericum australe","wfo-0000727387","species","Ten.","Hypericaceae","Hypericum","Accepted","MATCH"
"Hypericum hirsutum","Hypericum hirsutum","wfo-0000727741","species","L.","Hypericaceae","Hypericum","Accepted","MATCH"
"Hypericum humifusum","Hypericum humifusum","wfo-0000727753","species","L.","Hypericaceae","Hypericum","Accepted","MATCH"
"Hypericum linarifolium","Hypericum linariifolium","wfo-0000727869","species","Vahl","Hypericaceae","Hypericum","Accepted","FUZZY"
"Hypericum linariifolium","Hypericum linariifolium","wfo-0000727869","species","Vahl","Hypericaceae","Hypericum","Accepted","MATCH"
"Hypericum maculatum","Hypericum maculatum","wfo-0000727911","species","Crantz","Hypericaceae","Hypericum","Accepted","MATCH"
"Hypericum perfoliatum","Hypericum perfoliatum","wfo-0000728092","species","L.","Hypericaceae","Hypericum","Accepted","MATCH"
"Hypericum perforatum","Hypericum perforatum","wfo-0000728093","species","L.","Hypericaceae","Hypericum","Accepted","MATCH"
"Hypericum perforatum angustifolium","Hypericum perforatum subsp. veronense","wfo-0000728111","subspecies","(Schrank) H.Lindb.","Hypericaceae","Hypericum","Accepted","FUZZY"
"Hypericum tetrapterum","Hypericum tetrapterum","wfo-0000728383","species","Fr.","Hypericaceae","Hypericum","Accepted","MATCH"
"Hypericum triquetrifolium","Hypericum triquetrifolium","wfo-0000728420","species","Turra","Hypericaceae","Hypericum","Accepted","MATCH"
"Hypochaeris","Hypochaeris","wfo-4000018830","genus","L.","Asteraceae","Hypochaeris","Accepted","MATCH"
"Hypochaeris achyrophorus","Hypochaeris achyrophorus","wfo-0000045227","species","L.","Asteraceae","Hypochaeris","Accepted","MATCH"
"Hypochaeris glabra","Hypochaeris glabra","wfo-0000005915","species","L.","Asteraceae","Hypochaeris","Accepted","MATCH"
"Hypochaeris radicata","Hypochaeris radicata","wfo-0000074809","species","L.","Asteraceae","Hypochaeris","Accepted","MATCH"
"Hypochoeris radicata","Hypochaeris radicata","wfo-0000074809","species","L.","Asteraceae","Hypochaeris","Accepted","FUZZY"
"Hyssopus officinalis","Hyssopus officinalis","wfo-0000217205","species","L.","Lamiaceae","Hyssopus","Accepted","MATCH"
"Iberis amara","Iberis amara","wfo-0000728768","species","L.","Brassicaceae","Iberis","Accepted","MATCH"
"Iberis pinnata","Iberis pinnata","wfo-0000728931","species","L.","Brassicaceae","Iberis","Accepted","MATCH"
"Iberis sempervirens","Iberis sempervirens","wfo-0000728958","species","L.","Brassicaceae","Iberis","Accepted","MATCH"
"Ilex aquifolium","Ilex aquifolium","wfo-0000729203","species","L.","Aquifoliaceae","Ilex","Accepted","MATCH"
"Illecebrum verticillatum","Illecebrum verticillatum","wfo-0000730073","species","L.","Caryophyllaceae","Illecebrum","Accepted","MATCH"
"Imbribryum subapiculatum","Imbribryum subapiculatum","wfo-1000018804","species","(Hampe) D.Bell & Holyoak","Bryaceae","Imbribryum","Accepted","MATCH"
"Impatiens glandulifera","Impatiens glandulifera","wfo-0000730508","species","Royle","Balsaminaceae","Impatiens","Accepted","MATCH"
"Imperata cylindrica","Imperata cylindrica","wfo-0000875631","species","(L.) Raeusch.","Poaceae","Imperata","Accepted","MATCH"
"Inula britannica","Inula britannica","wfo-0000138983","species","L.","Asteraceae","Inula","Accepted","MATCH"
"Inula conyza","Inula conyza","wfo-0000126746","species","DC.","Asteraceae","Inula","Accepted","MATCH"
"Inula conyzae","Inula conyza","wfo-0000126746","species","DC.","Asteraceae","Inula","Accepted","MATCH"
"Inula helenium","Inula helenium","wfo-0000120207","species","L.","Asteraceae","Inula","Accepted","MATCH"
"Inula viscosa","Dittrichia viscosa","wfo-0000059214","species","(L.) Greuter","Asteraceae","Dittrichia","Accepted","MATCH"
"Ipomoea purpurea","Ipomoea purpurea","wfo-0001296676","species","(L.) Roth","Convolvulaceae","Ipomoea","Accepted","MATCH"
"Iris foetidissima","Iris foetidissima","wfo-0000783342","species","L.","Iridaceae","Iris","Accepted","MATCH"
"Iris pseudacorus","Iris pseudacorus","wfo-0000783754","species","L.","Iridaceae","Iris","Accepted","MATCH"
"Isatis tinctoria","Isatis tinctoria","wfo-0000732433","species","L.","Brassicaceae","Isatis","Accepted","MATCH"
"Iva xanthiifolia","Iva xanthiifolia","wfo-0000034395","species","Nutt.","Asteraceae","Iva","Accepted","MATCH"
"Jacobaea","Jacobaea","wfo-4000019438","genus","Mill.","Asteraceae","Jacobaea","Accepted","MATCH"
"Jacobaea aquatica","Jacobaea aquatica","wfo-0000041258","species","(Hill) G.Gaertn., B.Mey. & Scherb.","Asteraceae","Jacobaea","Accepted","MATCH"
"Jacobaea erucifolia","Jacobaea erucifolia","wfo-0000119080","species","(L.) P.Gaertn., B.Mey. & Schreb.","Asteraceae","Jacobaea","Accepted","MATCH"
"Jacobaea vulgaris","Jacobaea vulgaris","wfo-0000031875","species","Gaertn.","Asteraceae","Jacobaea","Accepted","MATCH"
"Jacobaea vulgaris vulgaris","Jacobaea vulgaris","wfo-0000031875","species","Gaertn.","Asteraceae","Jacobaea","Accepted","FUZZY"
"Jasione","Jasione","wfo-4000019520","genus","L.","Campanulaceae","Jasione","Accepted","MATCH"
"Jasione maritima","Jasione maritima","wfo-0000813718","species","(Duby) L.M.Dufour ex Merino","Campanulaceae","Jasione","Accepted","MATCH"
"Jasione montana","Jasione montana","wfo-0000813712","species","L.","Campanulaceae","Jasione","Accepted","MATCH"
"Jasminum fruticans","Chrysojasminum fruticans","wfo-0001341236","species","(L.) Banfi","Oleaceae","Chrysojasminum","Accepted","MATCH"
"Juglans","Juglans","wfo-4000019653","genus","L.","Juglandaceae","Juglans","Accepted","MATCH"
"Juglans nigra","Juglans nigra","wfo-0000355126","species","L.","Juglandaceae","Juglans","Accepted","MATCH"
"Juglans regia","Juglans regia","wfo-0000355051","species","L.","Juglandaceae","Juglans","Accepted","MATCH"
"Juncus","Juncus","wfo-4000019671","genus","L.","Juncaceae","Juncus","Accepted","MATCH"
"Juncus acutiflorus","Juncus acutiflorus","wfo-0000775706","species","Ehrh. ex Hoffm.","Juncaceae","Juncus","Accepted","MATCH"
"Juncus articulatus","Juncus articulatus","wfo-0000775879","species","L.","Juncaceae","Juncus","Accepted","MATCH"
"Juncus bufonius","Juncus bufonius","wfo-0000776030","species","L.","Juncaceae","Juncus","Accepted","MATCH"
"Juncus bufonius bufonius","Juncus bufonius","wfo-0000776030","species","L.","Juncaceae","Juncus","Accepted","FUZZY"
"Juncus bufonius minutulus","Juncus minutulus","wfo-0000776914","species","(Albert & Jahand.) Prain","Juncaceae","Juncus","Accepted","FUZZY"
"Juncus capitatus","Juncus capitatus","wfo-0000776171","species","Weigel","Juncaceae","Juncus","Accepted","MATCH"
"Juncus conglomeratus","Juncus conglomeratus","wfo-0000776253","species","L.","Juncaceae","Juncus","Accepted","MATCH"
"Juncus effusum","Juncus effusus","wfo-0000776350","species","L.","Juncaceae","Juncus","Accepted","FUZZY"
"Juncus effusus","Juncus effusus","wfo-0000776350","species","L.","Juncaceae","Juncus","Accepted","MATCH"
"Juncus filiformis","Juncus filiformis","wfo-0000776448","species","L.","Juncaceae","Juncus","Accepted","MATCH"
"Juncus inflexus","Juncus inflexus","wfo-0000776625","species","L.","Juncaceae","Juncus","Accepted","MATCH"
"Juncus tenuis","Juncus tenuis","wfo-0000777403","species","Willd.","Juncaceae","Juncus","Accepted","MATCH"
"Juniperus oxycedrus","Juniperus oxycedrus","wfo-0000355658","species","L.","Cupressaceae","Juniperus","Accepted","MATCH"
"Kandis perfoliata","Kandis perfoliata","wfo-0000356065","species","(L.) Kerguélen","Brassicaceae","Kandis","Unchecked","MATCH"
"Kernera saxatilis","Kernera saxatilis","wfo-0000356054","species","(L.) Sweet","Brassicaceae","Kernera","Accepted","MATCH"
"Kickxia","Kickxia","wfo-4000019987","genus","Dumort.","Plantaginaceae","Kickxia","Accepted","MATCH"
"Kickxia commutata","Kickxia commutata","wfo-0000357295","species","(Bernh. ex Rchb.) Fritsch","Plantaginaceae","Kickxia","Accepted","MATCH"
"Kickxia elatine","Kickxia elatine","wfo-0000357274","species","(L.) Dumort.","Plantaginaceae","Kickxia","Accepted","MATCH"
"Kickxia elatine elatine","Kickxia elatine","wfo-0000357274","species","(L.) Dumort.","Plantaginaceae","Kickxia","Accepted","FUZZY"
"Kickxia spuria","Kickxia spuria","wfo-0000357128","species","(L.) Dumort.","Plantaginaceae","Kickxia","Accepted","MATCH"
"Knautia","Knautia","wfo-4000020086","genus","L.","Caprifoliaceae","Knautia","Accepted","MATCH"
"Knautia arvensis","Knautia arvensis","wfo-0000356720","species","(L.) Coult.","Caprifoliaceae","Knautia","Accepted","MATCH"
"Knautia collina","Knautia collina","wfo-0000745444","species","(Gaudin) Jord.","Caprifoliaceae","Knautia","Accepted","MATCH"
"Knautia integrifola","Knautia integrifolia","wfo-0000745451","species","(L.) Bertol.","Caprifoliaceae","Knautia","Accepted","FUZZY"
"Knautia integrifolia","Knautia integrifolia","wfo-0000745451","species","(L.) Bertol.","Caprifoliaceae","Knautia","Accepted","MATCH"
"Knautia timeroyii","Knautia arvensis","wfo-0000356720","species","(L.) Coult.","Caprifoliaceae","Knautia","Accepted","FUZZY"
"Kochia scoparia","Bassia scoparia","wfo-0000561206","species","(L.) A.J.Scott","Chenopodiaceae","Bassia","Accepted","MATCH"
"Koeleria vallesiana","Koeleria vallesiana","wfo-0001096105","species","(Honck.) Gaudin","Poaceae","Koeleria","Accepted","MATCH"
"Krubera peregrina","Krubera peregrina","wfo-0000356622","species","Lowe","Apiaceae","Krubera","Accepted","MATCH"
"Lactuca","Lactuca","wfo-4000020393","genus","L.","Asteraceae","Lactuca","Accepted","MATCH"
"Lactuca muralis","Lactuca muralis","wfo-0000013840","species","(L.) Fresen.","Asteraceae","Lactuca","Unchecked","MATCH"
"Lactuca murralis","Lactuca muralis","wfo-0000013840","species","(L.) Fresen.","Asteraceae","Lactuca","Unchecked","FUZZY"
"Lactuca perennis","Lactuca perennis","wfo-0000019218","species","L.","Asteraceae","Lactuca","Accepted","MATCH"
"Lactuca saligna","Lactuca saligna","wfo-0000107983","species","L.","Asteraceae","Lactuca","Accepted","MATCH"
"Lactuca sativa","Lactuca sativa","wfo-0000128816","species","L.","Asteraceae","Lactuca","Accepted","MATCH"
"Lactuca serriola","Lactuca serriola","wfo-0000015140","species","L.","Asteraceae","Lactuca","Accepted","MATCH"
"Lactuca serriola serriola","Lactuca serriola","wfo-0000015140","species","L.","Asteraceae","Lactuca","Accepted","FUZZY"
"Lactuca viminea","Lactuca viminea","wfo-0000130698","species","(L.) J.Presl & C.Presl","Asteraceae","Lactuca","Accepted","MATCH"
"Lactuca virosa","Lactuca virosa","wfo-0000114404","species","L.","Asteraceae","Lactuca","Accepted","MATCH"
"Lagurus ovatus","Lagurus ovatus","wfo-0000877496","species","L.","Poaceae","Lagurus","Accepted","MATCH"
"Lamiaceae","Lamiaceae","wfo-7000000318","family","Martinov","Lamiaceae","","Accepted","MATCH"
"Lamium","Lamium","wfo-4000020496","genus","L.","Lamiaceae","Lamium","Accepted","MATCH"
"Lamium album","Lamium album","wfo-0000222425","species","L.","Lamiaceae","Lamium","Accepted","MATCH"
"Lamium album album","Lamium album","wfo-0000222425","species","L.","Lamiaceae","Lamium","Accepted","FUZZY"
"Lamium amplexicaule","Lamium amplexicaule","wfo-0000222440","species","L.","Lamiaceae","Lamium","Accepted","MATCH"
"Lamium galeobdolon","Lamium galeobdolon","wfo-0000222509","species","(L.) L.","Lamiaceae","Lamium","Accepted","MATCH"
"Lamium hybridum","Lamium hybridum","wfo-0000222554","species","Vill.","Lamiaceae","Lamium","Accepted","MATCH"
"Lamium maculatum","Lamium maculatum","wfo-0000222579","species","(L.) L.","Lamiaceae","Lamium","Accepted","MATCH"
"Lamium purpureum","Lamium purpureum","wfo-0000222642","species","L.","Lamiaceae","Lamium","Accepted","MATCH"
"Lamium purpureum hybridum","Lamium purpureum","wfo-0000222642","species","L.","Lamiaceae","Lamium","Accepted","FUZZY"
"Laphangium luteoalbum","Laphangium luteoalbum","wfo-0000076089","species","(L.) Tzvelev","Asteraceae","Laphangium","Accepted","MATCH"
"Lappula squarrosa","Lappula squarrosa","wfo-0000361500","species","(Retz.) Dumort.","Boraginaceae","Lappula","Accepted","MATCH"
"Lapsana","Lapsana","wfo-4000020596","genus","L.","Asteraceae","Lapsana","Accepted","MATCH"
"Lapsana communis","Lapsana communis","wfo-0000086921","species","L.","Asteraceae","Lapsana","Accepted","MATCH"
"Lapsana communis communis","Lapsana communis","wfo-0000086921","species","L.","Asteraceae","Lapsana","Accepted","FUZZY"
"Larix decidua","Larix decidua","wfo-0000443338","species","(L.) Mill.","Pinaceae","Larix","Accepted","MATCH"
"Lasiospora hirsuta","Lasiospora hirsuta","wfo-0000009236","species","(Gouan) Cass.","Asteraceae","Lasiospora","Unchecked","MATCH"
"Lathyris tuberosus","Lathyrus tuberosus","wfo-0000213826","species","L.","Fabaceae","Lathyrus","Accepted","FUZZY"
"Lathyrus","Lathyrus","wfo-4000020725","genus","L.","Fabaceae","Lathyrus","Accepted","MATCH"
"Lathyrus angulatus","Lathyrus angulatus","wfo-0000212671","species","L.","Fabaceae","Lathyrus","Accepted","MATCH"
"Lathyrus annuus","Lathyrus annuus","wfo-0000212672","species","L.","Fabaceae","Lathyrus","Accepted","MATCH"
"Lathyrus aphaca","Lathyrus aphaca","wfo-0000212673","species","L.","Fabaceae","Lathyrus","Accepted","MATCH"
"Lathyrus aphaca aphaca","Lathyrus aphaca","wfo-0000212673","species","L.","Fabaceae","Lathyrus","Accepted","FUZZY"
"Lathyrus cicera","Lathyrus cicera","wfo-0000175952","species","Hauman","Fabaceae","Lathyrus","Accepted","MATCH"
"Lathyrus clymenum","Lathyrus clymenum","wfo-0000212676","species","L.","Fabaceae","Lathyrus","Accepted","MATCH"
"Lathyrus clymenum clymenum","Lathyrus clymenum","wfo-0000212676","species","L.","Fabaceae","Lathyrus","Accepted","FUZZY"
"Lathyrus hirsutus","Lathyrus hirsutus","wfo-0000212684","species","L.","Fabaceae","Lathyrus","Accepted","MATCH"
"Lathyrus inconspicuus","Lathyrus inconspicuus","wfo-0000212688","species","L.","Fabaceae","Lathyrus","Accepted","MATCH"
"Lathyrus latifolius","Lathyrus latifolius","wfo-0000212689","species","L.","Fabaceae","Lathyrus","Accepted","MATCH"
"Lathyrus linifolius","Lathyrus linifolius","wfo-0000212690","species","(Reichard) Bässler","Fabaceae","Lathyrus","Accepted","MATCH"
"Lathyrus niger","Lathyrus niger","wfo-0000212694","species","(L.) Bernh.","Fabaceae","Lathyrus","Accepted","MATCH"
"Lathyrus niger niger","Lathyrus niger","wfo-0000212694","species","(L.) Bernh.","Fabaceae","Lathyrus","Accepted","FUZZY"
"Lathyrus nissolia","Lathyrus nissolia","wfo-0000212696","species","L.","Fabaceae","Lathyrus","Accepted","MATCH"
"Lathyrus ochrus","Lathyrus ochrus","wfo-0000212699","species","(L.) DC.","Fabaceae","Lathyrus","Accepted","MATCH"
"Lathyrus odoratus","Lathyrus odoratus","wfo-0000212700","species","L.","Fabaceae","Lathyrus","Accepted","MATCH"
"Lathyrus oleraceus","Lathyrus oleraceus","wfo-0000214337","species","Lam.","Fabaceae","Lathyrus","Accepted","MATCH"
