original_ID;DB;original_taxa;accepted_taxa;original_taxa_Tichy2022
GERCO;BE_ANN_EXPLORE;Geranium columbinum;Geranium columbinum;Geranium columbinum
MYOAR;BE_ANN_EXPLORE;Myosotis arvensis;Myosotis arvensis;Myosotis arvensis
SCAPV;BE_ANN_EXPLORE;Scandix pecten-veneris;Scandix pecten-veneris;Scandix pecten-veneris aggr.
VIOTR;BE_ANN_EXPLORE;Viola tricolor;Viola tricolor;Viola calcarata_Viola cenisia
POATR;BE_ANN_EXPLORE;Poa trivialis;Poa trivialis;Poa trivialis
CAPBP;BE_ANN_EXPLORE;Capsella bursa-pastoris;Capsella bursa-pastoris;Capsella bursa-pastoris
CHEAL;BE_ANN_EXPLORE;Chenopodium album;Chenopodium album;Chenopodium album aggr._Chenopodium opulifolium
PAPDU;BE_ANN_EXPLORE;Papaver dubium;Papaver dubium;Papaver dubium aggr.
RANSA;BE_ANN_EXPLORE;Ranunculus sardous;Ranunculus sardous;Ranunculus sardous
AGRRE;BE_ANN_EXPLORE;Elymus repens;Elytrigia repens;Elytrigia repens aggr.
ALOMY;BE_ANN_EXPLORE;Alopecurus myosuroides;Alopecurus myosuroides;Alopecurus myosuroides
FUMOF;BE_ANN_EXPLORE;Fumaria officinalis;Fumaria officinalis;Fumaria officinalis
SHRAR;BE_ANN_EXPLORE;Sherardia arvensis;Sherardia arvensis;Sherardia arvensis
TRZAX;BE_ANN_EXPLORE;Triticum aestivum;Triticum aestivum;Triticum aestivum
PAPRH;BE_ANN_EXPLORE;Papaver rhoeas;Papaver rhoeas;Papaver rhoeas
STEME;BE_ANN_EXPLORE;Stellaria media;Stellaria media;Stellaria media
MENAR;BE_ANN_EXPLORE;Mentha arvensis;Mentha arvensis;Mentha arvensis
EPHHE;BE_ANN_EXPLORE;Euphorbia helioscopia;Euphorbia helioscopia;Euphorbia helioscopia
POAAN;BE_ANN_EXPLORE;Poa annua;Poa annua;Ochlopoa annua
EQUAR;BE_ANN_EXPLORE;Equisetum arvense;Equisetum arvense;Equisetum arvense
CIRAR;BE_ANN_EXPLORE;Cirsium arvense;Cirsium arvense;Cirsium arvense
ACHMI;BE_ANN_EXPLORE;Achillea millefolium;Achillea millefolium;Achillea millefolium aggr.
HORVX;BE_ANN_EXPLORE;Hordeum vulgare;Hordeum vulgare;Hordeum vulgare
POLAV;BE_ANN_EXPLORE;Polygonum aviculare;Polygonum aviculare;Polygonum aviculare aggr._Polygonum maritimum
APHAR;BE_ANN_EXPLORE;Aphanes arvensis;Aphanes arvensis;Aphanes arvensis
VERAR;BE_ANN_EXPLORE;Veronica arvensis;Veronica arvensis;Veronica arvensis
CONAR;BE_ANN_EXPLORE;Convolvulus arvensis;Convolvulus arvensis;Convolvulus arvensis
TAROF;BE_ANN_EXPLORE;Taraxacum officinale;Taraxacum officinale;NA
VERHE;BE_ANN_EXPLORE;Veronica hederifolia;Veronica hederifolia;Veronica hederifolia aggr.
SINAR;BE_ANN_EXPLORE;Sinapis arvensis;Sinapis arvensis;Sinapis arvensis
LAMAM;BE_ANN_EXPLORE;Lamium amplexicaule;Lamium amplexicaule;Lamium amplexicaule
MATCH;BE_ANN_EXPLORE;Matricaria chamomilla;Matricaria chamomilla;Matricaria chamomilla
TUSFA;BE_ANN_EXPLORE;Tussilago farfara;Tussilago farfara;Tussilago farfara
PAPAR;BE_ANN_EXPLORE;Roemeria argemone;Roemeria argemone;Papaver argemone
RANRE;BE_ANN_EXPLORE;Ranunculus repens;Ranunculus repens;Ranunculus repens
RANAR;BE_ANN_EXPLORE;Ranunculus arvensis;Ranunculus arvensis;Ranunculus arvensis
LINAR;BE_ANN_EXPLORE;Linaria arvensis;Linaria arvensis;Linaria arvensis
VICSA;BE_ANN_EXPLORE;Vicia sativa;Vicia sativa;Vicia sativa
ARISE;BE_ANN_EXPLORE;Arenaria serpyllifolia;Arenaria serpyllifolia;Arenaria serpyllifolia
POLCO;BE_ANN_EXPLORE;Polygonum convolvulus;Fallopia convolvulus;Fallopia convolvulus
TRFRE;BE_ANN_EXPLORE;Trifolium repens;Trifolium repens;Trifolium repens
ANTAR;BE_ANN_EXPLORE;Anthemis arvensis;Anthemis arvensis;Anthemis arvensis
ANGAR;BE_ANN_EXPLORE;Lysimachia arvensis;Lysimachia arvensis;Anagallis arvensis
ANGCO;BE_ANN_EXPLORE;Lysimachia foemina;Lysimachia foemina;Anagallis foemina
GALAP;BE_ANN_EXPLORE;Galium aparine;Galium aparine;Galium aparine
EPHEX;BE_ANN_EXPLORE;Euphorbia exigua;Euphorbia exigua;Euphorbia exigua
SILVU;BE_ANN_EXPLORE;Silene vulgaris;Silene vulgaris;Silene vulgaris
BUIBU;BE_ANN_EXPLORE;Buniun bulbocastanum;Bunium bulbocastanum;Bunium bulbocastanum
CHNMI;BE_ANN_EXPLORE;Chaenorhinum minus;Chaenorhinum minus;NA
ALLVI;BE_ANN_EXPLORE;Allium vineale;Allium vineale;Allium vineale
LEGHY;BE_ANN_EXPLORE;Legousia hybrida;Legousia hybrida;Legousia hybrida
MTIHY;BE_ANN_EXPLORE;Minuartia hybrida;Sabulina tenuifolia;NA
CENCY;BE_ANN_EXPLORE;Cyanus segetum;Cyanus segetum;Cyanus segetum
VLLDE;BE_ANN_EXPLORE;Valerianella dentata;Valerianella dentata;Valerianella dentata
LITAR;BE_ANN_EXPLORE;Buglossoides arvensis;Buglossoides arvensis;Buglossoides arvensis aggr.
APESV;BE_ANN_EXPLORE;Apera spica-venti;Apera spica-venti;Apera spica-venti
BROSE;BE_ANN_EXPLORE;Bromus secalinus;Bromus secalinus;Bromus secalinus
VLLLO;BE_ANN_EXPLORE;Valerianella locusta;Valerianella locusta;Valerianella locusta
SECCE;BE_ANN_EXPLORE;Secale cereale;Secale cereale;Secale cereale
RUMCR;BE_ANN_EXPLORE;Rumex crispus;Rumex crispus;Rumex crispus
STAAR;BE_ANN_EXPLORE;Stachys arvensis;Stachys arvensis;Stachys arvensis
THLAR;BE_ANN_EXPLORE;Thlaspi arvense;Thlaspi arvense;Thlaspi arvense
KICEL;BE_ANN_EXPLORE;Kickxia elatine;Kickxia elatine;Kickxia elatine
AGOGI;BE_ANN_EXPLORE;Agrostemma githago;Agrostemma githago;Agrostemma githago
VERPE;BE_ANN_EXPLORE;Veronica persica;Veronica persica;Veronica persica
MEDLU;BE_ANN_EXPLORE;Medicago lupulina;Medicago lupulina;Medicago lupulina
SONAS;BE_ANN_EXPLORE;Sonchus asper;Sonchus asper;Sonchus asper
SENER;BE_ANN_EXPLORE;Jacobaea erucifolia;Jacobaea erucifolia;Jacobaea erucifolia
GERDI;BE_ANN_EXPLORE;Geranium dissectum;Geranium dissectum;Geranium dissectum
GNAUL;BE_ANN_EXPLORE;Gnaphalium uliginosum;Gnaphalium uliginosum;Gnaphalium uliginosum
PTLRE;BE_ANN_EXPLORE;Potentilla reptans;Potentilla reptans;Potentilla reptans
VICHI;BE_ANN_EXPLORE;Vicia hirsuta;Ervilia hirsuta;Vicia hirsuta
MYOST;BE_ANN_EXPLORE;Myosotis stricta;Myosotis stricta;Myosotis stricta
ARZMI;BE_ANN_EXPLORE;Arnoseris minima;Arnoseris minima;Arnoseris minima
AIRCA;BE_ANN_EXPLORE;Aira caryophyllea;Aira caryophyllea;Aira caryophyllea
RUMAA;BE_ANN_EXPLORE;Rumex acetosella;Rumex acetosella;Rumex acetosella
VICTE;BE_ANN_EXPLORE;Vicia tetrasperma;Ervum tetraspermum;NA
SCRAN;BE_ANN_EXPLORE;Scleranthus annuus;Scleranthus annuus;Scleranthus annuus
SPRAR;BE_ANN_EXPLORE;Spergula arvensis;Spergula arvensis;Spergula arvensis
RAPRA;BE_ANN_EXPLORE;Raphanus raphanistrum;Raphanus raphanistrum;Raphanus raphanistrum
POLLA;BE_ANN_EXPLORE;Persicaria lapathifolia;Persicaria lapathifolia;Persicaria lapathifolia
SAIAP;BE_ANN_EXPLORE;Sagina apetala;Sagina apetala;Sagina apetala
IUNBU;BE_ANN_EXPLORE;Juncus bufonius;Juncus bufonius;Juncus bufonius aggr.
TRFHY;BE_ANN_EXPLORE;Trifolium hybridum;Trifolium hybridum;Trifolium hybridum
VERAG;BE_ANN_EXPLORE;Veronica agrestis;Veronica agrestis;Veronica agrestis
LAMPU;BE_ANN_EXPLORE;Lamium purpureum;Lamium purpureum;Lamium purpureum
MYODI;BE_ANN_EXPLORE;Myosotis discolor;Myosotis discolor;Myosotis discolor
SAIPR;BE_ANN_EXPLORE;Sagina procumbens;Sagina procumbens;Sagina procumbens
CERGL;BE_ANN_EXPLORE;Cerastium glomeratum;Cerastium glomeratum;Cerastium glomeratum
CERFO;BE_ANN_EXPLORE;Cerastium fontanum;Cerastium fontanum;Cerastium fontanum
CHPTE;BE_ANN_EXPLORE;Chaerophyllum temulum;Chaerophyllum temulum;Chaerophyllum temulum
HRYRA;BE_ANN_EXPLORE;Hypochaeris radicata;Hypochaeris radicata;Hypochaeris radicata
CVPCA;BE_ANN_EXPLORE;Crepis capillaris;Crepis capillaris;Crepis capillaris
PRUVU;BE_ANN_EXPLORE;Prunella vulgaris;Prunella vulgaris;Prunella vulgaris
DAUCA;BE_ANN_EXPLORE;Daucus carotta;Daucus carota;Daucus carota
SONOL;BE_ANN_EXPLORE;Solanum nigrum;Solanum nigrum;Solanum nigrum
BROMO;BE_ANN_EXPLORE;Bromus hordeaceus;Bromus hordeaceus;Bromus hordeaceus
SONAR;BE_ANN_EXPLORE;Sonchus arvenses;Sonchus arvensis;Sonchus arvensis
PHLPR;BE_ANN_EXPLORE;Phleum pratense;Phleum pratense;Phleum pratense
PLAMA;BE_ANN_EXPLORE;Plantago major;Plantago major;Plantago major
MERAN;BE_ANN_EXPLORE;Mercurialis annua;Mercurialis annua;Mercurialis annua
PTLAN;BE_ANN_EXPLORE;Potentilla anserina;Argentina anserina;Argentina anserina
CHYLE;BE_ANN_EXPLORE;Lencanthemum vulgare;Leucanthemum vulgare;Leucanthemum vulgare aggr.
KNAAR;BE_ANN_EXPLORE;Knautia arvensis;Knautia arvensis;Knautia arvensis
LTHPR;BE_ANN_EXPLORE;Lathyrus pratensis;Lathyrus pratensis;Lathyrus pratensis
POAPR;BE_ANN_EXPLORE;Poa pratensis;Poa pratensis;Poa pratensis
VICCR;BE_ANN_EXPLORE;Vicia cracca;Vicia cracca;Vicia cracca
TRZSP;BE_ANN_EXPLORE;Triticum spelta;Triticum aestivum subsp. spelta;Triticum aestivum
ORLGR;BE_ANN_EXPLORE;Orlaya grandiflora;Orlaya grandiflora;Orlaya grandiflora
GAELA;BE_ANN_EXPLORE;Galeopsis ladanum;Galeopsis ladanum;Galeopsis ladanum
SILNU;BE_ANN_EXPLORE;Silene nutans;Silene nutans;Silene nutans
FUMVA;BE_ANN_EXPLORE;Fumaria vaillantii;Fumaria vaillantii;Fumaria vaillantii
BIKDU;BE_ANN_EXPLORE;Fallopia dumetorum;Fallopia dumetorum;Fallopia dumetorum
POACO;BE_ANN_EXPLORE;Poa compressa;Poa compressa;Poa compressa
VIOAR;BE_ANN_EXPLORE;Viola arvensis;Viola arvensis;Viola arvensis
STIAC;BE_ANN_EXPLORE;Clinopodium acinos;Ziziphora acinos;Clinopodium acinos
LAPCO;BE_ANN_EXPLORE;Lapsana communis;Lapsana communis;Lapsana communis
VERPO;BE_ANN_EXPLORE;Veronica polita;Veronica polita;Veronica polita
LEPCA;BE_ANN_EXPLORE;Lepidium campestre;Lepidium campestre;Lepidium campestre
EPHCY;BE_ANN_EXPLORE;Euphorbia cyparissias;Euphorbia cyparissias;Euphorbia cyparissias
EHIVU;BE_ANN_EXPLORE;Echium vulgare;Echium vulgare;Echium vulgare
RUMCO;BE_ANN_EXPLORE;Rumex conglomeratus;Rumex conglomeratus;Rumex conglomeratus
PLALA;BE_ANN_EXPLORE;Plantago lanceolata;Plantago lanceolata;Plantago lanceolata
AGSST;BE_ANN_EXPLORE;Agrostis stolonifera;Agrostis stolonifera;Agrostis stolonifera
CENJA;BE_ANN_EXPLORE;Centaurea jacea;Centaurea jacea;Centaurea jacea
PICEC;BE_ANN_EXPLORE;Helminthotheca echioides;Helminthotheca echioides;Helminthotheca echioides
LEBHI;BE_ANN_EXPLORE;Leontodon hispidus;Leontodon hispidus;Leontodon hispidus
POLPE;BE_ANN_EXPLORE;Persicaria maculosa;Persicaria maculosa;Persicaria maculosa
MEDSA;BE_ANN_EXPLORE;Medicago sativa;Medicago sativa;Medicago sativa
THLPE;BE_ANN_EXPLORE;Microthlaspi perfoliatum;Microthlaspi perfoliatum;Noccaea perfoliata
ERPVE;BE_ANN_EXPLORE;Draba verna;Draba verna;Draba verna aggr.
BELPE;BE_ANN_EXPLORE;Bellis perennis;Bellis perennis;Bellis perennis
PIMSA;BE_ANN_EXPLORE;Pimpinella saxifraga;Pimpinella saxifraga;Pimpinella saxifraga
CERAR;BE_ANN_EXPLORE;Cerastium arvense;Cerastium arvense;Cerastium arvense
MELAL;BE_ANN_EXPLORE;Silene latifolia;Silene latifolia;Silene latifolia
HYPPE;BE_ANN_EXPLORE;Hypericum perforatum;Hypericum perforatum;Hypericum perforatum
CENSC;BE_ANN_EXPLORE;Centaurea scabiosa;Centaurea scabiosa;Centaurea scabiosa
BARIN;BE_ANN_EXPLORE;Barbarea intermedia;Barbarea intermedia;Barbarea intermedia
VLLER;BE_ANN_EXPLORE;Valerianella eriocarpa;Valerianella eriocarpa;Valerianella eriocarpa
PRIVE;BE_ANN_EXPLORE;Primula veris;Primula veris;Primula veris
LINVU;BE_ANN_EXPLORE;Linaria vulgaris;Linaria vulgaris;Linaria vulgaris
HOLLA;BE_ANN_EXPLORE;Holcus lanatus;Holcus lanatus;Holcus lanatus
MYORA;BE_ANN_EXPLORE;Myosotis ramosissima;Myosotis ramosissima;Myosotis ramosissima
AETCY;BE_ANN_EXPLORE;Aethusa cynapium;Aethusa cynapium;Aethusa cynapium
ARBTH;BE_ANN_EXPLORE;Arabidopsis thaliana;Arabidopsis thaliana;Arabidopsis thaliana
AGSTE;BE_ANN_EXPLORE;Agrostis capillaris;Agrostis capillaris;Agrostis capillaris
MYOPA;BE_ANN_EXPLORE;Myosotis scorpioides;Myosotis scorpioides;Myosotis scorpioides aggr.
OXAST;BE_ANN_EXPLORE;Oxalis stricta;Oxalis stricta;Oxalis stricta
SINAL;BE_ANN_EXPLORE;Sinapis alba;Sinapis alba;Sinapis alba
GAETE;BE_ANN_EXPLORE;Geleopsis tetrahit;Galeopsis tetrahit;Galeopsis tetrahit aggr.
LOLPE;BE_ANN_EXPLORE;Lolium perenne;Lolium perenne;Lolium perenne
FESRU;BE_ANN_EXPLORE;Festuca rubra;Festuca rubra;Festuca alpestris_Festuca glauca_Festuca halleri_Festuca heteromalla_Festuca juncifolia
BROGR;BE_ANN_EXPLORE;Bromus grossus;Bromus grossus;Bromus grossus
ALCAC;BE_ANN_EXPLORE;Alchemilla acutiloba;Alchemilla acutiloba;Alchemilla acutiloba
TRFPR;BE_ANN_EXPLORE;Trifolium pratense;Trifolium pratense;Trifolium pratense
MYLMU;BE_ANN_EXPLORE;Lactuca murralis;Lactuca muralis;Lactuca muralis
CHYSE;BE_ANN_EXPLORE;Glebionis segetum;Glebionis segetum;Glebionis segetum
VICSE;BE_ANN_EXPLORE;Vicia sepium;Vicia sepium;Vicia sepium
CMPRA;BE_ANN_EXPLORE;Campanula rapunculoides;Campanula rapunculoides;Campanula rapunculoides
EROCI;BE_ANN_EXPLORE;Erodium cicutarium;Erodium cicutarium;Erodium cicutarium
SPBRU;BE_ANN_EXPLORE;Spergularia rubra;Spergularia rubra;Spergularia rubra
AOXPU;BE_ANN_EXPLORE;Anthoxanthum aristatum;Anthoxanthum aristatum;Anthoxanthum aristatum
RUMAC;BE_ANN_EXPLORE;Rumex acetosa;Rumex acetosa;Rumex acetosa
MATIN;BE_ANN_EXPLORE;Tripleurospermum inodorum;Tripleurospermum inodorum;NA
TEENU;BE_ANN_EXPLORE;Teesdalia nudicaulis;Teesdalia nudicaulis;Teesdalia nudicaulis
