"id","euromed_name","tpl_name","ncbitaxon_uri"
1,Abutilon,Abutilon,
2,Abutilon theophrasti,Abutilon theophrasti,
3,Acacia,Acacia,
4,Acalypha,Acalypha,
5,Acalypha virginica,Acalypha virginica,
6,Acer campestre,Acer campestre,
7,Acer negundo,Acer negundo,
8,Acer platanoides,Acer platanoides,
9,Acer pseudoplatanus,Acer pseudoplatanus,
10,Achillea,Achillea,
11,Achillea millefolium,Achillea millefolium,
12,Achillea odorata,Achillea odorata,
13,Achillea ptarmica,Achillea ptarmica,
14,Adonis,Adonis,
15,Adonis aestivalis,Adonis aestivalis,
16,Adonis annua,Adonis annua,
17,Adonis flammea,Adonis flammea,
18,Aegilops,Aegilops,
19,Aegilops geniculata,Aegilops geniculata,
20,Aegopodium podagraria,Aegopodium podagraria,
21,Aethusa cynapium,Aethusa cynapium,
22,Agrimonia eupatoria,Agrimonia eupatoria,
23,Agropyron,Agropyron,
24,Agrostemma githago,Agrostemma githago,
25,Agrostis,Agrostis,
26,Agrostis capillaris,Agrostis capillaris,
27,Agrostis gigantea,Agrostis gigantea,
28,Agrostis stolonifera,Agrostis stolonifera,
29,Ailanthus altissima,Ailanthus altissima,
30,Ajuga chamaepitys,Ajuga chamaepitys,
31,Ajuga genevensis,Ajuga genevensis,
32,Ajuga reptans,Ajuga reptans,
33,Alchemilla xanthochlora,Alchemilla xanthochlora,
34,Alisma lanceolatum,Alisma lanceolatum,
35,Alkanna tinctoria,Alkanna tinctoria,
36,Alliaria petiolata,Alliaria petiolata,
37,Allium,Allium,
38,Allium ampeloprasum,Allium ampeloprasum,
39,Allium cepa,Allium cepa,
40,Allium neapolitanum,Allium neapolitanum,
41,Allium nigrum,Allium nigrum,
42,Allium oleraceum,Allium oleraceum,
43,Allium roseum,Allium roseum,
44,Allium rotundum,Allium rotundum,
45,Allium subhirsutum,Allium subhirsutum,
46,Allium vineale,Allium vineale,
47,Alopecurus,Alopecurus,
48,Alopecurus geniculatus,Alopecurus geniculatus,
49,Alopecurus myosuroides,Alopecurus myosuroides,
50,Alopecurus pratensis,Alopecurus pratensis,
51,Alopecurus rendlei,Alopecurus rendlei,
52,Alopecurus utriculatus,Alopecurus utriculatus,
53,Althaea officinalis,Althaea officinalis,
54,Alyssum,Alyssum,
55,Alyssum alyssoides,Alyssum alyssoides,
56,Alyssum granatense,Alyssum granatense,
57,Alyssum minutum,Alyssum minutum,
58,Alyssum simplex,Alyssum simplex,
59,Amaranthus,Amaranthus,
60,Amaranthus albus,Amaranthus albus,
61,Amaranthus blitoides,Amaranthus blitoides,
62,Amaranthus blitum,Amaranthus blitum,
63,Amaranthus caudatus,Amaranthus caudatus,
64,Amaranthus deflexus,Amaranthus deflexus,
65,Amaranthus graecizans,Amaranthus graecizans,
66,Amaranthus hybridus,Amaranthus hybridus,
67,Amaranthus powellii,Amaranthus powellii,
68,Amaranthus retroflexus,Amaranthus retroflexus,
69,Amaranthus tricolor,Amaranthus tricolor,
70,Amaranthus viridis,Amaranthus viridis,
71,Ambrosia artemisiifolia,Ambrosia artemisiifolia,
72,Ammi majus,Ammi majus,
73,Ammoides pusilla,Ammoides pusilla,
74,Anacyclus clavatus,Anacyclus clavatus,
75,Anacyclus radiatus,Anacyclus radiatus,
76,Anagallis,Anagallis,
77,Anagallis arvensis,Anagallis arvensis var. caerulea,
78,Anagallis arvensis,Anagallis arvensis,
79,Anagallis foemina,Anagallis arvensis subsp. foemina,
80,Anchusa,Anchusa,
81,Anchusa azurea,Anchusa azurea,
82,Anchusa hybrida,Anchusa undulata subsp. hybrida,
83,Anchusa officinalis,Anchusa officinalis,
84,Anchusa puechii,Anchusa puechii,
85,Andrachne telephioides,Andrachne telephioides,
86,Androsace maxima,Androsace maxima,
87,Andryala integrifolia,Andryala integrifolia,
88,Andryala laxiflora,Andryala laxiflora,
89,Anemone hortensis,Anemone hortensis,
90,Anethum graveolens,Anethum graveolens,
91,Angelica sylvestris,Angelica sylvestris,
92,Anisantha diandra,Bromus diandrus,
93,Anisantha madritensis,Bromus rigidus,
94,Anisantha madritensis,Elymus repens,
95,Anisantha madritensis,Bromus madritensis,
96,Anisantha rigida,Bromus rigidus,
97,Anisantha rubens,Bromus rubens,
98,Anisantha sterilis,Bromus sterilis,
99,Anisantha tectorum,Bromus tectorum,
100,Anthemis,Anthemis,
101,Anthemis arvensis,Anthemis arvensis,
102,Anthemis cotula,Anthemis cotula,
103,Anthemis ruthenica,Anthemis ruthenica,
104,Anthoxanthum odoratum,Anthoxanthum odoratum,
105,Anthriscus,Anthriscus,
106,Anthriscus caucalis,Anthriscus caucalis,
107,Anthriscus cerefolium,Anthriscus cerefolium,
108,Anthriscus sylvestris,Anthriscus sylvestris,
109,Anthyllis vulneraria,Anthyllis vulneraria,
110,Apera spica-venti,Apera spica-venti,
111,Aphanes arvensis,Aphanes arvensis,
112,Apium,Apium,
113,Apium graveolens,Apium graveolens,
114,Arabidopsis thaliana,Arabidopsis thaliana,
115,Arctium,Arctium,
116,Arctium lappa,Arctium lappa,
117,Arctium minus,Arctium minus,
118,Arctium tomentosum,Arctium tomentosum,
119,Arenaria hispanica,Arenaria hispanica,
120,Arenaria serpyllifolia,Arenaria serpyllifolia,
242,Centaurea,Centaurea,
121,Argentina anserina,Potentilla anserina,
122,Arisarum simorrhinum,Arisarum simorrhinum,
123,Aristolochia clematitis,Aristolochia clematitis,
124,Armoracia rusticana,Armoracia rusticana,
125,Arrhenatherum elatius,Arrhenatherum elatius,
126,Arrhenatherum elatius subsp. bulbosum,Arrhenatherum elatius subsp. bulbosum,
127,Artemisia absinthium,Artemisia absinthium,
128,Artemisia annua,Artemisia annua,
129,Artemisia herba-alba,Artemisia herba-alba,
130,Artemisia verlotiorum,Artemisia verlotiorum,
131,Artemisia vulgaris,Artemisia vulgaris,
132,Arundo plinii,Arundo plinii,
133,Asclepias syriaca,Asclepias syriaca,
134,Asparagus officinalis,Asparagus officinalis,
135,Asparagus officinalis subsp. Officinalis,Asparagus officinalis,
136,Asperugo procumbens,Asperugo procumbens,
137,Asperula aristata,Asperula aristata,
138,Asperula arvensis,Asperula arvensis,
139,Asphodelus,Asphodelus,
140,Asphodelus ramosus,Asphodelus ramosus,
141,Astragalus,Astragalus,
142,Astragalus boeticus,Astragalus boeticus,
143,Astragalus cicer,Astragalus cicer,
144,Atriplex,Atriplex,
145,Atriplex halimus,Atriplex halimus,
146,Atriplex hastata,Atriplex prostrata subsp. calotheca,
147,Atriplex littoralis,Atriplex littoralis,
148,Atriplex oblongifolia,Atriplex oblongifolia,
149,Atriplex patula,Atriplex patula,
150,Atriplex prostrata,Atriplex prostrata,
151,Atriplex sagittata,Atriplex sagittata,
152,Atriplex tatarica,Atriplex tatarica,
153,Avena,Avena,
154,Avena barbata,Avena barbata,
155,Avena fatua,Avena fatua,
156,Avena sativa,Avena sativa,
157,Avena sterilis,Avena sterilis,
158,Ballota nigra,Ballota nigra,
159,Barbarea,Barbarea,
160,Barbarea intermedia,Barbarea intermedia,
161,Barbarea stricta,Barbarea stricta,
162,Barbarea vulgaris,Barbarea vulgaris,
163,Bassia,Bassia,
164,Bassia scoparia,Bassia scoparia,
165,Bellardia trixago,Bellardia trixago,
166,Bellis perennis,Bellis perennis,
167,Berteroa incana,Berteroa incana,
168,Beta,Beta,
169,Beta vulgaris,Beta vulgaris,
170,Betula pendula,Betula pendula,
171,Betula pubescens,Betula pubescens,
172,Bidens,Bidens,
173,Bidens bipinnatus,Bidens bipinnata,
174,Bidens tripartitus,Bidens tripartita,
175,Bifora radians,Bifora radians,
176,Bifora testiculata,Bifora testiculata,
177,Biscutella auriculata,Biscutella auriculata,
178,Bistorta officinalis,Persicaria bistorta,
179,Blackstonia perfoliata,Blackstonia perfoliata,
180,Bolboschoenus maritimus,Bolboschoenus maritimus,
181,Borago officinalis,Borago officinalis,
182,Brachypodium sylvaticum,Brachypodium sylvaticum,
183,Brassica,Brassica,
184,Brassica barrelieri,Brassica barrelieri,
185,Brassica napus,Brassica napus,
186,Brassica nigra,Brassica nigra,
187,Brassica oleracea,Brassica oleracea,
188,Brassica rapa,Brassica rapa,
189,Briza maxima,Briza maxima,
190,Briza media,Briza media,
191,Bromopsis inermis,Bromus inermis,
192,Bromus,Bromus,
193,Bromus arvensis,Bromus arvensis,
194,Bromus commutatus,Bromus commutatus,
195,Bromus erectus,Bromus erectus,
196,Bromus grossus,Bromus grossus,
197,Bromus hordeaceus,Bromus hordeaceus,
198,Bromus japonicus,Bromus japonicus,
199,Bromus ramosus,Bromus ramosus,
200,Bromus secalinus,Bromus secalinus,
201,Bryonia dioica,Bryonia cretica subsp. dioica,
202,Buglossoides arvensis,Buglossoides arvensis,
203,Bunias erucago,Bunias erucago,
204,Bunias orientalis,Bunias orientalis,
205,Bupleurum rotundifolium,Bupleurum rotundifolium,
206,Calamagrostis epigejos,Calamagrostis epigejos,
207,Calendula,Calendula,
208,Calendula arvensis,Calendula arvensis,
209,Calendula officinalis,Calendula officinalis,
210,Calepina irregularis,Calepina irregularis,
211,Calystegia sepium,Calystegia sepium,
212,Camelina,Camelina,
213,Camelina alyssum,Camelina alyssum,
214,Camelina microcarpa,Camelina microcarpa,
215,Camelina sativa,Camelina sativa,
216,Campanula erinus,Campanula erinus,
217,Campanula patula,Campanula patula,
218,Campanula rapunculoides,Campanula rapunculoides,
219,Cannabis sativa,Cannabis sativa,
220,Capsella bursa-pastoris,Capsella bursa-pastoris,
221,Capsella rubella,Capsella rubella,
222,Cardamine,Cardamine,
223,Cardamine hirsuta,Cardamine hirsuta,
224,Cardamine pratensis,Cardamine pratensis,
225,Carduus,Carduus,
226,Carduus acanthoides,Carduus acanthoides,
227,Carduus crispus,Carduus crispus,
228,Carduus nutans,Carduus nutans,
229,Carduus pycnocephalus,Carduus pycnocephalus,
230,Carduus tenuiflorus,Carduus tenuiflorus,
231,Carex,Carex,
232,Carex hirta,Carex hirta,
233,Carex pendula,Carex pendula,
234,Carex vulpina,Carex vulpina,
235,Carlina corymbosa,Carlina corymbosa,
236,Carlina lanata,Carlina lanata,
237,Carthamus lanatus,Carthamus lanatus,
238,Catapodium rigidum,Catapodium rigidum,
239,Caucalis platycarpos,Caucalis platycarpos,
240,Cenchrus incertus,Cenchrus incertus,
241,Cenchrus spicatus,Pennisetum glaucum,
243,Centaurea aspera,Centaurea aspera,
244,Centaurea calcitrapa,Centaurea calcitrapa,
245,Centaurea diluta,Centaurea diluta,
246,Centaurea eriophora,Centaurea eriophora,
247,Centaurea jacea,Centaurea jacea,
248,Centaurea melitensis,Centaurea melitensis,
249,Centaurea nigrescens,Centaurea nigrescens,
250,Centaurea pullata,Centaurea pullata,
251,Centaurea scabiosa,Centaurea scabiosa,
252,Centaurea solstitialis,Centaurea solstitialis,
253,Centaurea stoebe,Centaurea stoebe,
254,Centaurium,Centaurium,
255,Centaurium erythraea,Centaurium erythraea,
256,Centaurium pulchellum,Centaurium pulchellum,
257,Centranthus calcitrapae,Centranthus calcitrapa,
258,Cerastium,Cerastium,
259,Cerastium arvense,Cerastium arvense,
260,Cerastium dichotomum,Cerastium dichotomum,
261,Cerastium fontanum,Cerastium fontanum,
262,Cerastium fontanum subsp. vulgare,Cerastium fontanum subsp. vulgare,
263,Cerastium glomeratum,Cerastium glomeratum,
264,Cerastium perfoliatum,Cerastium perfoliatum,
265,Cerastium pumilum,Cerastium pumilum,
266,Cerastium semidecandrum,Cerastium semidecandrum,
267,Ceratochloa cathartica,Bromus catharticus,
268,Cereal,Cereal,
269,Cerinthe minor,Cerinthe minor,
270,Chaenorhinum origanifolium,Chaenorhinum origanifolium,
271,Chaenorhinum rubrifolium,Chaenorhinum rubrifolium,
272,Chaerophyllum temulum,Chaerophyllum temulum,
273,Chelidonium,Chelidonium,
274,Chelidonium majus,Chelidonium majus,
275,Chenopodiastrum hybridum,Chenopodium hybridum,
276,Chenopodiastrum murale,Chenopodium murale,
277,Chenopodium,Chenopodium,
278,Chenopodium album,Chenopodium album,
279,Chenopodium ficifolium,Chenopodium ficifolium,
280,Chenopodium vulvaria,Chenopodium vulvaria,
281,Chondrilla juncea,Chondrilla juncea,
282,Chrozophora tinctoria,Chrozophora tinctoria,
283,Cicer arietinum,Cicer arietinum,
284,Cichorium,Cichorium,
285,Cichorium endivia,Cichorium endivia,
286,Cichorium intybus,Cichorium intybus,
287,Cirsium,Cirsium,
288,Cirsium arvense,Cirsium arvense,
289,Cirsium eriophorum,Cirsium eriophorum,
290,Cirsium helenioides,Cirsium helenioides,
291,Cirsium oleraceum,Cirsium oleraceum,
292,Cirsium palustre,Cirsium palustre,
293,Cirsium vulgare,Cirsium lanceolatum,
294,Cirsium vulgare,Cirsium vulgare,
295,Cladanthus mixtus,Cladanthus mixtus,
296,Clematis vitalba,Clematis vitalba,
297,Clinopodium nepeta,Clinopodium nepeta,
298,Coincya monensis subsp. cheiranthos,Coincya monensis subsp. cheiranthos,
299,Commelina,Commelina,
300,Commelina communis,Commelina communis,
301,Conium maculatum,Conium maculatum,
302,Conringia orientalis,Conringia orientalis,
303,Consolida orientalis,Consolida orientalis,
304,Consolida pubescens,Consolida pubescens,
305,Consolida regalis,Consolida regalis,
306,Convolvulus,Convolvulus,
307,Convolvulus althaeoides,Convolvulus althaeoides,
308,Convolvulus arvensis,Convolvulus arvensis,
309,Convolvulus cantabrica,Convolvulus cantabrica,
310,Conyza sumatrensis,Conyza sumatrensis,
311,Coriandrum sativum,Coriandrum sativum,
312,Coris monspeliensis,Coris monspeliensis,
313,Corispermum nitidum,Corispermum nitidum,
314,Cornus alba,Cornus alba,
315,Coronilla scorpioides,Coronilla scorpioides,
316,Coronopus,Coronopus,
317,Corrigiola litoralis,Corrigiola litoralis,
318,Corylus avellana,Corylus avellana,
319,Cota altissima,Cota altissima,
320,Cota austriaca,Cota austriaca,
321,Cota segetalis,Cota segetalis,
322,Cota tinctoria,Cota tinctoria,
323,Crambe abyssinica,Crambe hispanica subsp. abyssinica,
324,Crassula tillaea,Crassula tillaea,
325,Crataegus monogyna,Crataegus monogyna,
326,Crepis,Crepis,
327,Crepis biennis,Crepis biennis,
328,Crepis bursifolia,Crepis bursifolia,
329,Crepis capillaris,Crepis capillaris,
330,Crepis foetida,Crepis foetida,
331,Crepis foetida subsp. rhoeadifolia,Crepis foetida subsp. rhoeadifolia,
332,Crepis neglecta,Crepis neglecta,
333,Crepis neglecta subsp. corymbosa,Crepis neglecta subsp. corymbosa,
334,Crepis pulchra,Crepis pulchra,
335,Crepis pygmaea,Crepis pygmaea,
336,Crepis rubra,Crepis rubra,
337,Crepis sancta,Crepis sancta,
338,Crepis setosa,Crepis setosa,
339,Crepis tectorum,Crepis tectorum,
340,Crepis vesicaria,Crepis vesicaria,
341,Crepis vesicaria subsp. taraxacifolia,Crepis vesicaria subsp. taraxacifolia,
342,Cruciata laevipes,Cruciata laevipes,
343,Cucurbita,Cucurbita,
344,Cullen americanum,Cullen americanum,
345,Cuscuta,Cuscuta,
346,Cuscuta campestris,Cuscuta campestris,
347,Cyanus depressus,Cyanus depressus,
348,Cyanus segetum,Cyanus segetum,
349,Cymbalaria muralis,Cymbalaria muralis,
350,Cynara cardunculus,Cynara cardunculus,
351,Cynodon dactylon,Cynodon dactylon,
352,Cynoglossum cheirifolium,Pardoglossum cheirifolium,
353,Cynoglossum creticum,Cynoglossum creticum,
354,Cynoglossum officinale,Cynoglossum officinale,
355,Cyperus,Cyperus,
356,Cyperus difformis,Cyperus difformis,
357,Cyperus esculentus,Cyperus esculentus,
358,Cyperus longus,Cyperus longus,
359,Cyperus rotundus,Cyperus rotundus,
360,Dactylis glomerata,Dactylis glomerata,
361,Dactylis glomerata subsp. glomerata,Dactylis glomerata,
362,Dasypyrum villosum,Dasypyrum villosum,
363,Datura stramonium,Datura stramonium,
364,Daucus,Daucus,
365,Daucus carota,Daucus carota,
366,Daucus crinitus,Daucus crinitus,
367,Delphinium halteratum,Delphinium halteratum,
368,Deschampsia cespitosa,Deschampsia cespitosa,
369,Descurainia sophia,Descurainia sophia,
370,Dianthus carthusianorum,Dianthus carthusianorum,
371,Digitalis grandiflora,Digitalis grandiflora,
372,Digitaria,Digitaria,
373,Digitaria ischaemum,Digitaria ischaemum,
374,Digitaria sanguinalis,Digitaria sanguinalis,
375,Dioscorea communis,Dioscorea communis,
376,Diplotaxis,Diplotaxis,
377,Diplotaxis erucoides,Diplotaxis erucoides,
378,Diplotaxis muralis,Diplotaxis muralis,
379,Diplotaxis tenuifolia,Diplotaxis tenuifolia,
380,Diplotaxis viminea,Diplotaxis viminea,
381,Diplotaxis virgata,Diplotaxis virgata,
382,Dipsacus fullonum,Dipsacus fullonum,
383,Dittrichia graveolens,Dittrichia graveolens,
384,Draba verna,Erophila verna,
385,Ecballium elaterium,Ecballium elaterium,
386,Echinaria capitata,Echinaria capitata,
387,Echinochloa,Echinochloa,
388,Echinochloa colonum,Echinochloa colona,
389,Echinochloa crus-galli,Echinochloa crus-galli,
390,Echinops ritro,Echinops ritro,
391,Echium,Echium,
392,Echium asperrimum,Echium asperrimum,
393,Echium plantagineum,Echium plantagineum,
394,Echium vulgare,Echium vulgare,
395,Elytrigia campestris,Elymus pungens,
396,Elytrigia intermedia subsp. trichophora,Elymus hispidus,
397,Elytrigia repens,Elymus repens,
398,Epilobium,Epilobium,
399,Epilobium angustifolium,Epilobium angustifolium,
400,Epilobium ciliatum,Epilobium ciliatum,
401,Epilobium hirsutum,Epilobium hirsutum,
402,Epilobium lanceolatum,Epilobium lanceolatum,
403,Epilobium montanum,Epilobium montanum,
404,Epilobium obscurum,Epilobium obscurum,
405,Epilobium palustre,Epilobium palustre,
406,Epilobium parviflorum,Epilobium parviflorum,
407,Epilobium tetragonum,Epilobium tetragonum,
408,Equisetum,Equisetum,
409,Equisetum arvense,Equisetum arvense,
410,Equisetum palustre,Equisetum palustre,
411,Equisetum ramosissimum,Equisetum ramosissimum,
412,Equisetum sylvaticum,Equisetum sylvaticum,
413,Equisetum telmateia,Equisetum telmateia,
414,Eragrostis minor,Eragrostis minor,
415,Erigeron,Erigeron,
416,Erigeron,Conyza,
417,Erigeron acris,Erigeron acris,
418,Erigeron annuus,Erigeron annuus,
419,Erigeron bonariensis,Erigeron bonariensis,
420,Erigeron canadensis,Erigeron canadensis,
421,Erigeron glabellus,Erigeron glabellus,
